epoch,date,transaction
1422608009,01/30/15,0
1422694409,01/31/15,0
1422780809,02/01/15,0
1422867209,02/02/15,0
1422953609,02/03/15,0
1423040009,02/04/15,0
1423126409,02/05/15,0
1423212809,02/06/15,0
1423299209,02/07/15,0
1423385609,02/08/15,0
1423472009,02/09/15,0
1423558409,02/10/15,0
1423644809,02/11/15,0
1423731209,02/12/15,0
1423817609,02/13/15,0
1423904009,02/14/15,0
1423990409,02/15/15,0
1424076809,02/16/15,0
1424163209,02/17/15,0
1424249609,02/18/15,0
1424336009,02/19/15,0
1424422409,02/20/15,0
1424508809,02/21/15,0
1424595209,02/22/15,0
1424681609,02/23/15,0
1424768009,02/24/15,0
1424854409,02/25/15,0
1424940809,02/26/15,0
1425027209,02/27/15,0
1425113609,02/28/15,0
1425200009,03/01/15,0
1425286409,03/02/15,0
1425372809,03/03/15,0
1425459209,03/04/15,0
1425545609,03/05/15,0
1425632009,03/06/15,0
1425718409,03/07/15,0
1425804809,03/08/15,0
1425891209,03/09/15,0
1425977609,03/10/15,0
1426064009,03/11/15,0
1426150409,03/12/15,0
1426236809,03/13/15,0
1426323209,03/14/15,0
1426409609,03/15/15,0
1426496009,03/16/15,0
1426582409,03/17/15,0
1426668809,03/18/15,0
1426755209,03/19/15,0
1426841609,03/20/15,0
1426928009,03/21/15,0
1427014409,03/22/15,0
1427100809,03/23/15,0
1427187209,03/24/15,0
1427273609,03/25/15,0
1427360009,03/26/15,0
1427446409,03/27/15,0
1427532809,03/28/15,0
1427619209,03/29/15,0
1427705609,03/30/15,0
1427792009,03/31/15,0
1427878409,04/01/15,0
1427964809,04/02/15,0
1428051209,04/03/15,0
1428137609,04/04/15,0
1428224009,04/05/15,0
1428310409,04/06/15,0
1428396809,04/07/15,0
1428483209,04/08/15,0
1428569609,04/09/15,0
1428656009,04/10/15,0
1428742409,04/11/15,0
1428828809,04/12/15,0
1428915209,04/13/15,0
1429001609,04/14/15,0
1429088009,04/15/15,0
1429174409,04/16/15,0
1429260809,04/17/15,0
1429347209,04/18/15,0
1429433609,04/19/15,0
1429520009,04/20/15,0
1429606409,04/21/15,0
1429692809,04/22/15,0
1429779209,04/23/15,0
1429865609,04/24/15,0
1429952009,04/25/15,0
1430038409,04/26/15,0
1430124809,04/27/15,0
1430211209,04/28/15,0
1430297609,04/29/15,0
1430384009,04/30/15,0
1430470409,05/01/15,0
1430556809,05/02/15,0
1430643209,05/03/15,0
1430729609,05/04/15,0
1430816009,05/05/15,0
1430902409,05/06/15,0
1430988809,05/07/15,0
1431075209,05/08/15,0
1431161609,05/09/15,0
1431248009,05/10/15,0
1431334409,05/11/15,0
1431420809,05/12/15,0
1431507209,05/13/15,0
1431593609,05/14/15,0
1431680009,05/15/15,0
1431766409,05/16/15,0
1431852809,05/17/15,0
1431939209,05/18/15,0
1432025609,05/19/15,0
1432112009,05/20/15,0
1432198409,05/21/15,0
1432284809,05/22/15,0
1432371209,05/23/15,0
1432457609,05/24/15,0
1432544009,05/25/15,0
1432630409,05/26/15,0
1432716809,05/27/15,0
1432803209,05/28/15,0
1432889609,05/29/15,0
1432976009,05/30/15,0
1433062409,05/31/15,0
1433148809,06/01/15,0
1433235209,06/02/15,0
1433321609,06/03/15,0
1433408009,06/04/15,0
1433494409,06/05/15,0
1433580809,06/06/15,0
1433667209,06/07/15,0
1433753609,06/08/15,0
1433840009,06/09/15,0
1433926409,06/10/15,0
1434012809,06/11/15,0
1434099209,06/12/15,0
1434185609,06/13/15,0
1434272009,06/14/15,0
1434358409,06/15/15,0
1434444809,06/16/15,0
1434531209,06/17/15,0
1434617609,06/18/15,0
1434704009,06/19/15,0
1434790409,06/20/15,0
1434876809,06/21/15,0
1434963209,06/22/15,0
1435049609,06/23/15,0
1435136009,06/24/15,0
1435222409,06/25/15,0
1435308809,06/26/15,0
1435395209,06/27/15,0
1435481609,06/28/15,0
1435568009,06/29/15,0
1435654409,06/30/15,0
1435740809,07/01/15,0
1435827209,07/02/15,0
1435913609,07/03/15,0
1436000009,07/04/15,0
1436086409,07/05/15,0
1436172809,07/06/15,0
1436259209,07/07/15,0
1436345609,07/08/15,0
